265	32C	6.4	32
267	32C	6.6	32
268	32C	6.7	32
270	32C	7.1	32
271	32C	7.2	32
272	32C	7.3	32
273	32C	7.4	32
274	32C	7.5	32
275	32C	7.6	32
277	32C	7.8	32
278	32C	8.1	32
279	32C	8.2	32
281	32C	8.4	32
282	32C	8.5	32
283	32C	8.6	32
284	64C	1.1	64
285	64C	1.2	64
286	64C	1.3	64
287	64C	1.4	64
288	64C	1.5	64
289	64C	1.6	64
290	64C	1.7	64
291	64C	1.8	64
292	64C	1.9	64
293	64C	1.10	64
294	64C	1.11	64
295	64C	1.12	64
296	64C	1.13	64
297	64C	1.14	64
298	64C	1.15	64
299	64C	1.16	64
300	64C	1.17	64
301	64C	1.18	64
302	64C	1.19	64
303	64C	1.20	64
304	64C	1.21	64
305	64C	1.22	64
306	64C	1.23	64
307	64C	1.24	64
308	64C	1.25	64
309	64C	1.26	64
310	64C	1.27	64
311	64C	1.28	64
312	64C	1.29	64
313	64C	1.30	64
314	64C	1.31	64
315	64C	1.32	64
316	64C	1.33	64
317	64C	1.34	64
318	64C	1.35	64
319	64C	1.36	64
320	64C	1.37	64
321	64C	1.38	64
322	64C	1.39	64
323	64C	1.40	64
324	64C	1.41	64
325	64C	1.42	64
326	64C	1.43	64
327	64C	1.44	64
328	64C	1.45	64
329	64C	1.46	64
330	64C	1.47	64
331	64C	1.48	64
332	64C	2.1	64
333	64C	2.2	64
334	64C	2.3	64
335	64C	2.4	64
336	64C	2.5	64
337	64C	2.6	64
338	64C	2.7	64
339	64C	2.8	64
340	64C	2.9	64
341	64C	2.10	64
342	64C	2.11	64
343	64C	2.12	64
344	64C	2.13	64
345	64C	2.14	64
346	64C	2.15	64
347	64C	2.16	64
348	64C	2.17	64
349	64C	2.18	64
350	64C	2.19	64
351	64C	2.20	64
352	64C	2.21	64
353	64C	2.22	64
354	64C	2.23	64
355	64C	2.24	64
356	64C	2.25	64
357	64C	3.1	64
358	64C	3.2	64
359	64C	3.3	64
